timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-06-26,55.61,55.875,55.485,55.68,53.8992459577346,1423153,0.0,1.0
2026-06-27,55.7,55.7899,55.2608,55.35,53.5797999957007,1362341,0.0,1.0
2026-06-28,54.91,55.075,54.6896,54.99,53.2313134916636,2487618,0.0,1.0
2026-07-01,55.33,55.7,54.685,54.7,52.9505882523004,2379714,0.0,1.0
2026-07-02,54.5,54.85,54.405,54.82,53.0667504203127,1673802,0.0,1.0
2026-07-03,54.89,55.055,54.845,54.99,53.2313134916636,921672,0.0,1.0
2026-07-05,55.42,55.57,55.09,55.49,53.7153225250484,1382754,0.0,1.0
2026-07-08,55.85,55.965,55.685,55.83,54.0444486677501,1590160,0.0,1.0
2026-07-09,56.0,56.01,55.53,55.55,53.7734036090546,3067376,0.0,1.0
2026-07-10,56.22,56.62,56.2,56.54,54.7317414951565,2721690,0.0,1.0
